date	Stock	Open	Low	Close	Volume	30_day_MA	60_day_MA	90_day_MA	30_day_MA	60_day_MA	90_day_MA	SMA_30	SMA_60	SMA_90	EMA_30	EMA_60	EMA_90	RSI	EMA_12	EMA_26	MACD	Signal_Line	MACD_Histogram	Price_Change_Pct	Article Length	article_sentiment
4/26/2019	MSFT	130.5200043	129.0200043	129.8899994	23654900	121.0273336	114.8201667	111.6237779	121.0273336	114.8201667	111.6237779	121.0273336	114.8201667	111.6237779	121.0850767	116.9659211	114.519286	91.11840867	125.1334673	121.8457256	3.287741674	2.643259342	0.644482332	0.572981439	321	1
4/26/2019	MSFT	130.5200043	129.0200043	129.8899994	23654900	121.5373337	115.2861666	111.8724445	121.5373337	115.2861666	111.8724445	121.5373337	115.2861666	111.8724445	121.6531362	117.3896614	114.8571039	91.08909582	125.8652415	122.4415978	3.42364371	2.799336216	0.624307494	0.572981439	410	4
4/29/2019	MSFT	130.1799927	129.3500061	129.7700043	16324200	121.9413338	115.7111668	112.0726668	121.9413338	115.7111668	112.0726668	121.9413338	115.7111668	112.0726668	122.1768051	117.7955743	115.1848599	90.19610165	126.4659742	122.9844427	3.481531521	2.935775277	0.545756244	-0.092382106	701	1
4/29/2019	MSFT	130.1799927	129.3500061	129.7700043	16324200	122.3496674	116.1473335	112.3271112	122.3496674	116.1473335	112.3271112	122.3496674	116.1473335	112.3271112	122.6666889	118.1881785	115.5054125	95.25456776	126.9742865	123.4870769	3.487209647	3.046062151	0.441147496	-0.092382106	1183	4
4/29/2019	MSFT	130.1799927	129.3500061	129.7700043	16324200	122.6680008	116.5538336	112.5770002	122.6680008	116.5538336	112.5770002	122.6680008	116.5538336	112.5770002	123.1249674	118.5679105	115.8189201	94.8502266	127.404397	123.9524789	3.451918039	3.127233329	0.324684711	-0.092382106	437	4
4/29/2019	MSFT	130.1799927	129.3500061	129.7700043	16324200	122.9863342	116.9603338	112.8268891	122.9863342	116.9603338	112.8268891	122.9863342	116.9603338	112.8268891	123.5536794	118.9351923	116.1255373	94.8502266	127.7683365	124.3834067	3.384929823	3.178772627	0.206157195	-0.092382106	557	4
4/30/2019	MSFT	130.6999969	129.3899994	130.6000061	24166500	123.4093343	117.3806672	113.0860003	123.4093343	117.3806672	113.0860003	123.4093343	117.3806672	113.0860003	124.0082811	119.3176452	116.4436575	94.88376351	128.203978	124.8438956	3.36008245	3.215034592	0.145047858	0.639594516	865	2
4/30/2019	MSFT	130.6999969	129.3899994	130.6000061	24166500	123.8313344	117.8060006	113.374667	123.8313344	117.8060006	113.374667	123.8313344	117.8060006	113.374667	124.4335537	119.6875587	116.754786	94.83572077	128.5725977	125.2702741	3.302323598	3.232492393	0.069831205	0.639594516	1714	4
5/1/2019	MSFT	130.6499939	127.6999969	127.8799973	26821700	124.1266678	118.1860006	113.6331114	124.1266678	118.1860006	113.6331114	124.1266678	118.1860006	113.6331114	124.6559049	119.9561632	116.9992962	69.32454832	128.4660438	125.4635869	3.002456855	3.186485286	-0.18402843	-2.082701932	568	2
5/1/2019	MSFT	130.6499939	127.6999969	127.8799973	26821700	124.4163343	118.5660005	113.9238892	124.4163343	118.5660005	113.9238892	124.4163343	118.5660005	113.9238892	124.8639109	120.2159611	117.2384324	63.58571214	128.3758828	125.6425803	2.733302492	3.095848727	-0.362546235	-2.082701932	1516	4
